Open,High,Low,Close,Adj Close,Volume,Date
50.8,51.9,49.9,50.3,44.553,15086000,2021-07-22
51.0,52.0,50.5,51.2,45.351,10444000,2021-07-23
51.3,51.8,50.7,51.0,45.173,6802000,2021-07-26
51.8,51.8,48.5,48.6,43.048,14924000,2021-07-27
48.5,49.15,45.55,47.0,41.63,15052000,2021-07-28
47.45,47.7,46.7,47.65,42.206,4437000,2021-07-29
47.65,48.2,46.85,47.0,41.63,5608000,2021-07-30
47.4,47.95,46.7,47.9,42.428,3634000,2021-08-02
48.0,48.3,47.6,47.85,42.383,2984000,2021-08-03
48.0,48.5,47.8,47.8,42.339,4313000,2021-08-04
48.05,48.25,47.65,47.9,42.428,2998000,2021-08-05
48.0,48.85,47.75,48.0,42.516,4624000,2021-08-06
48.05,48.05,46.15,46.25,40.966,7124000,2021-08-09
46.5,46.8,46.15,46.35,41.055,3101000,2021-08-10
46.4,47.2,45.9,46.1,40.833,4245000,2021-08-11
46.3,46.7,46.2,46.45,41.143,2121000,2021-08-12
46.55,46.65,45.1,45.4,40.213,4494000,2021-08-13
45.25,45.8,44.05,44.8,39.682,5293000,2021-08-16
44.8,44.8,44.8,44.8,39.682,0,2021-08-17
45.0,45.8,44.05,45.7,40.479,4259000,2021-08-18
45.7,46.25,45.25,45.65,40.435,4058000,2021-08-19
45.95,46.1,45.25,45.65,40.435,2872000,2021-08-20
46.1,46.65,46.0,46.5,41.188,3551000,2021-08-23
47.3,48.2,47.0,47.05,41.675,7768000,2021-08-24
47.65,48.1,47.35,47.95,42.472,6569000,2021-08-25
48.0,48.0,46.95,47.55,43.199,5936000,2021-08-26
47.5,49.2,47.25,48.45,44.016,17632000,2021-08-27
49.1,49.1,48.0,48.6,44.153,6741000,2021-08-30
49.0,49.8,48.4,49.8,45.243,10498000,2021-08-31
49.8,50.0,49.2,49.9,45.334,7869000,2021-09-01
49.85,50.4,48.6,48.6,44.153,11388000,2021-09-02
49.1,49.4,48.6,48.65,44.198,4984000,2021-09-03
49.0,51.3,48.7,49.5,44.97,17613000,2021-09-06
49.8,50.3,48.45,49.15,44.652,9624000,2021-09-07
